driverId,driverName,races,meanScore,meanOutperformance,maxScore,hex_code
1,Lewis Hamilton,350,2065.0666125877738,0.32631000217396366,2434.143943333364,#FFD700
20,Sebastian Vettel,300,2035.701232716831,0.050928251848319644,2397.7970161356466,#C0C0C0
117,Alain Prost,202,2021.900261528177,0.5716679619808323,2331.3024725914815,#CD7F32
830,Max Verstappen,203,2013.5363248799279,0.8330167509867836,2410.6081252715026,#F7EAB4
224,Emerson Fittipaldi,149,1990.6449244065682,0.9426657178055244,2266.887722412967,#F7EAB4
30,Michael Schumacher,308,1960.4774592477656,0.008698451382781212,2330.079749076391,#F7EAB4
373,Jim Clark,73,1944.7794764588507,1.6007218433499595,2348.4257549195268,#F7EAB4
4,Fernando Alonso,398,1911.482046916018,0.1375500272006234,2147.327897741821,#F7EAB4
328,Jackie Stewart,100,1885.2285174334945,0.8129105025295048,2149.2976335602157,#F7EAB4
846,Lando Norris,122,1882.4865010866954,1.1135589831299584,2177.5454927503897,#F7EAB4
